,dUP,dDOWN,nE
integaral_rho*E,11.535142699467684,-4.516173258113387,16.051315957581068
Occupancy,-4.080106494370001,2.17892740583,-6.2590339001999995
band_center,-2.827167064238307,-2.072658889887651,-2.5645037578512184
