,,,,,,,,,Integrated Y1,Integrated Y2
,,,,,,,,,"Integrate of H x=(-21.8409,-0.0009) Area = 6.25841","Integrate of I x=(-21.8409,-0.0009) Area = -16.0513"
-18.0229,4.913E-4,-4.894E-4,2.334E-4,-2.338E-4,3.781E-4,-3.585E-4,7.366E-4,-0.01327566814,0.02869585365,-0.558531620304875
-18.0079,5.523E-4,-5.5E-4,2.543E-4,-2.55E-4,4.278E-4,-4.056E-4,8.334E-4,-0.01500778386,0.02870762865,-0.558743746194875
-17.9939,6.208E-4,-6.181E-4,2.797E-4,-2.808E-4,4.839E-4,-4.586E-4,9.425E-4,-0.01695925075,0.02872005995,-0.558967515437145
-17.9799,6.972E-4,-6.941E-4,3.1E-4,-3.115E-4,5.468E-4,-5.181E-4,0.0010649,-0.01914679551,0.02873411175,-0.559220257760965
-17.9659,7.819E-4,-7.781E-4,3.457E-4,-3.475E-4,6.171E-4,-5.845E-4,0.0012016,-0.02158782544,0.02874997725,-0.559505400107615
-17.9509,8.75E-4,-8.704E-4,3.871E-4,-3.893E-4,6.95E-4,-6.581E-4,0.0013531,-0.02428936279,0.0287691375,-0.55984947901934
-17.9369,9.766E-4,-9.709E-4,4.347E-4,-4.373E-4,7.811E-4,-7.392E-4,0.0015203,-0.02726946907,0.0287892513,-0.56021039084236
-17.9229,0.001086,-0.001079,4.89E-4,-4.92E-4,8.754E-4,-8.281E-4,0.0017035,-0.03053166015,0.0288118179,-0.5606149987469
-17.9089,0.001204,-0.001195,5.506E-4,-5.54E-4,9.781E-4,-9.248E-4,0.0019029,-0.03407884581,0.0288370627,-0.56106727228862
-17.8949,0.001328,-0.001318,6.199E-4,-6.238E-4,0.001089,-0.001029,0.002118,-0.0379013982,0.028865209,-0.56157113399669
-17.8799,0.001458,-0.001446,6.976E-4,-7.019E-4,0.001208,-0.001141,0.002349,-0.0419998851,0.0288987115,-0.56217039362144
-17.8659,0.001593,-0.001578,7.839E-4,-7.887E-4,0.001335,-0.00126,0.002595,-0.0463620105,0.0289333195,-0.56278892689064
-17.8519,0.001729,-0.001711,8.794E-4,-8.847E-4,0.001468,-0.001385,0.002853,-0.0509314707,0.0289714555,-0.56346998125904
-17.8379,0.001866,-0.001845,9.841E-4,-9.899E-4,0.001608,-0.001515,0.003123,-0.0557077617,0.0290132875,-0.56421645588584
-17.8229,0.002,-0.001976,0.001098,-0.001105,0.001752,-0.00165,0.003402,-0.0606335058,0.029062225,-0.56508901539209
-17.8089,0.00213,-0.002102,0.001232,-0.001239,0.0019,-0.001789,0.003689,-0.0656970321,0.029111862,-0.56597332915739
-17.7949,0.002252,-0.002219,0.001361,-0.001369,0.002049,-0.001928,0.003977,-0.0707703173,0.029165524,-0.56692860060319
-17.7809,0.002363,-0.002326,0.001504,-0.001512,0.002199,-0.002068,0.004267,-0.0758711003,0.029223232,-0.56795509052639
-17.7659,0.00246,-0.002419,0.001651,-0.001662,0.002345,-0.002206,0.004551,-0.0808526109,0.029289367,-0.56913051836039
-17.7519,0.002542,-0.002497,0.001812,-0.001817,0.002491,-0.002338,0.004829,-0.0857239251,0.029355027,-0.57029655411239
-17.7379,0.002607,-0.002557,0.001975,-0.001984,0.002629,-0.002469,0.005098,-0.0904278142,0.029424516,-0.57152961628749
-17.7239,0.002652,-0.002599,0.00214,-0.002151,0.002758,-0.002592,0.00535,-0.094822865,0.029497652,-0.57282637104189
-17.7089,0.002679,-0.002621,0.002312,-0.002319,0.002883,-0.002702,0.005585,-0.0989042065,0.0295796645,-0.57427932407814
