,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated Y1,Integrated Y2,Integrated Y3,Integrated Y4,Integrated Y5,Integrated Y6,Integrated Y7,Integrated Y8,Integrated Y9,Integrated Y10,Integrated Y11,Integrated Y12,,,,,Integrated Y13,Integrated Y14
,s,,py,,pz,,px,,dxy,,dyz,,dz2,,dxz,,dx2-dy2,,t2g,,eg,,t2g_tot,eg_tot,t2g*E,eg*E,t2g_up*E,t2g_down*E,eg_up*E,eg_down*E,"Integrate of T x=(-21.6803,-0.0143) Area = 2.24703","Integrate of U x=(-21.6803,-0.0143) Area = -1.44937","Integrate of V x=(-21.6803,-0.0143) Area = 1.83374","Integrate of W x=(-21.6803,-0.0143) Area = -1.75636","Integrate of X x=(-21.6803,-0.0143) Area = 3.69639","Integrate of Y x=(-21.6803,-0.0143) Area = 3.5901","Integrate of Z x=(-21.6803,-0.0143) Area = -9.45528","Integrate of AA x=(-21.6803,-0.0143) Area = -4.84644","Integrate of AB x=(-21.6803,-0.0143) Area = -5.82819","Integrate of AC x=(-21.6803,-0.0143) Area = 3.62708","Integrate of AD x=(-21.6803,-0.0143) Area = -2.9336","Integrate of AE x=(-21.6803,-0.0143) Area = 1.91283",,,,,"Integrate of AT x=(-21.6803,-0.0143) Area = 4.52036","Integrate of AU x=(-21.6803,-0.0143) Area = -6.19123"
-21.3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.1733,1.248E-4,-3.551E-5,0,0,0,0,2.971E-5,-8.71E-6,0,0,0,0,3.444E-5,-9.83E-6,0,0,1.3E-6,-3.8E-7,0,0,3.574E-5,-1.021E-5,0,4.595E-5,0,-9.72913135E-4,0,0,-7.56733742E-4,2.16179393E-4,0,0,2.50179999999988E-7,-7.14699999999967E-8,0,3.21649999999985E-7,0,-6.81039194499968E-6,0,0,-5.29713619399975E-6,1.51325575099993E-6,3.444E-5,-9.83E-6,4.427E-5,-9.37341991E-4,3.09889999999986E-7,-6.5613939369997E-6
-21.1583,8.566E-5,-1.658E-4,0,0,0,0,2.045E-5,-4.08E-5,0,0,0,0,2.363E-5,-4.591E-5,0,0,8.9E-7,-1.8E-6,0,0,2.452E-5,-4.771E-5,0,7.223E-5,0,-0.001528264009,0,0,-5.18801516E-4,0.001009462493,0,0,7.02130000000006E-7,-5.05870000000013E-7,0,1.20800000000002E-6,0,-2.55692205250004E-5,0,0,-1.48636506290001E-5,1.07055698960003E-5,2.363E-5,-4.591E-5,6.954E-5,-0.001471348182,1.16346500000002E-6,-2.46265702345004E-5
-21.1443,3.284E-5,-3.14E-5,0,0,0,0,7.82E-6,-7.72E-6,0,0,0,0,9.06E-6,-8.7E-6,0,0,3.4E-7,-3.4E-7,0,0,9.4E-6,-9.04E-6,0,1.844E-5,0,-3.89900892E-4,0,0,-1.9875642E-4,1.91144472E-4,0,0,9.39569999999995E-7,-9.03119999999995E-7,0,1.84268999999999E-6,0,-3.89963748319998E-5,0,0,-1.98865561809999E-5,1.91098186509999E-5,9.06E-6,-8.7E-6,1.776E-5,-3.75522768E-4,1.77456499999999E-6,-3.75546668844998E-5
-21.1293,3.796E-5,-3.63E-5,0,0,0,0,9.04E-6,-8.93E-6,0,0,0,0,1.047E-5,-1.005E-5,0,0,3.9E-7,-3.9E-7,0,0,1.086E-5,-1.044E-5,0,2.13E-5,0,-4.5005409E-4,0,0,-2.29464198E-4,2.20589892E-4,0,0,1.09152E-6,-1.04922E-6,0,2.14074E-6,0,-4.5296037197E-5,0,0,-2.3098210816E-5,2.2197826381E-5,1.047E-5,-1.005E-5,2.052E-5,-4.33573236E-4,2.061665E-6,-4.36228869145E-5
-21.1153,4.388E-5,-4.195E-5,0,0,0,0,1.045E-5,-1.032E-5,0,0,0,0,1.21E-5,-1.162E-5,0,0,4.6E-7,-4.6E-7,0,0,1.256E-5,-1.208E-5,0,2.464E-5,0,-5.20280992E-4,0,0,-2.65208168E-4,2.55072824E-4,0,0,1.25545999999999E-6,-1.20685999999999E-6,0,2.46231999999999E-6,0,-5.20883827709997E-5,0,0,-2.65609173779998E-5,2.55274653929999E-5,1.21E-5,-1.162E-5,2.372E-5,-5.00854916E-4,2.37134499999999E-6,-5.01638839784997E-5
-21.1003,5.072E-5,-4.849E-5,0,0,0,0,1.208E-5,-1.193E-5,0,0,0,0,1.399E-5,-1.343E-5,0,0,5.3E-7,-5.3E-7,0,0,1.452E-5,-1.396E-5,0,2.848E-5,0,-6.00936544E-4,0,0,-3.06376356E-4,2.94560188E-4,0,0,1.45856E-6,-1.40216E-6,0,2.86072E-6,0,-6.0497514291E-5,0,0,-3.0847801308E-5,2.9649712983E-5,1.399E-5,-1.343E-5,2.742E-5,-5.78570226E-4,2.754895E-6,-5.82595725435E-5
-21.0863,5.863E-5,-5.605E-5,0,0,0,0,1.397E-5,-1.379E-5,0,0,0,0,1.617E-5,-1.553E-5,0,0,6.1E-7,-6.1E-7,0,0,1.678E-5,-1.614E-5,0,3.292E-5,0,-6.94160996E-4,0,0,-3.53828114E-4,3.40332882E-4,0,0,1.67765999999999E-6,-1.61285999999999E-6,0,3.29051999999998E-6,0,-6.95631970709996E-5,0,0,-3.54692325979998E-5,3.40939644729998E-5,1.617E-5,-1.553E-5,3.17E-5,-6.6843571E-4,3.16873499999998E-6,-6.69886140954996E-5
-21.0713,6.776E-5,-6.479E-5,0,0,0,0,1.614E-5,-1.594E-5,0,0,0,0,1.869E-5,-1.795E-5,0,0,7E-7,-7E-7,0,0,1.939E-5,-1.865E-5,0,3.804E-5,0,-8.01552252E-4,0,0,-4.08572507E-4,3.92979745E-4,0,0,1.948935E-6,-1.873785E-6,0,3.82272E-6,0,-8.0781046431E-5,0,0,-4.11872372555E-5,3.95938091755E-5,1.869E-5,-1.795E-5,3.664E-5,-7.72052432E-4,3.681285E-6,-7.77922751605E-5
-21.0573,7.832E-5,-7.488E-5,0,0,0,0,1.866E-5,-1.842E-5,0,0,0,0,2.16E-5,-2.074E-5,0,0,8.1E-7,-8.1E-7,0,0,2.241E-5,-2.155E-5,0,4.396E-5,0,-9.25678908E-4,0,0,-4.71894093E-4,4.53784815E-4,0,0,2.24153499999999E-6,-2.15518499999999E-6,0,4.39671999999997E-6,0,-9.28716645509995E-5,0,0,-4.73505034554997E-5,4.55211610954997E-5,2.16E-5,-2.074E-5,4.234E-5,-8.91566082E-4,4.23414499999998E-6,-8.94376047584995E-5
-21.0423,9.052E-5,-8.655E-5,0,0,0,0,2.157E-5,-2.129E-5,0,0,0,0,2.497E-5,-2.397E-5,0,0,9.4E-7,-9.4E-7,0,0,2.591E-5,-2.491E-5,0,5.082E-5,0,-0.001069369686,0,0,-5.45205993E-4,5.24163693E-4,0,0,2.603935E-6,-2.503635E-6,0,5.10757E-6,0,-1.07834529006E-4,0,0,-5.49787541005E-5,5.28557749055E-5,2.497E-5,-2.397E-5,4.894E-5,-0.001029810162,4.918745E-6,-1.038479265885E-4
-21.0283,1.046E-4,-1E-4,0,0,0,0,2.492E-5,-2.46E-5,0,0,0,0,2.886E-5,-2.77E-5,0,0,1.09E-6,-1.09E-6,0,0,2.995E-5,-2.879E-5,0,5.874E-5,0,-0.001235202342,0,0,-6.29797585E-4,6.05404757E-4,0,0,2.99495499999998E-6,-2.87953499999998E-6,0,5.87448999999997E-6,0,-1.23966533201999E-4,0,0,-6.32037791464996E-5,6.07627540554997E-5,2.886E-5,-2.77E-5,5.656E-5,-0.001189360648,5.65724499999997E-6,-1.19382122258499E-4
-21.0133,1.209E-4,-1.156E-4,0,0,0,0,2.88E-5,-2.843E-5,0,0,0,0,3.335E-5,-3.202E-5,0,0,1.26E-6,-1.26E-6,0,0,3.461E-5,-3.328E-5,0,6.789E-5,0,-0.001426592937,0,0,-7.27270313E-4,6.99322624E-4,0,0,3.479155E-6,-3.34506E-6,0,6.824215E-6,0,-1.439299977945E-4,0,0,-7.33817883815E-5,7.0548209413E-5,3.335E-5,-3.202E-5,6.537E-5,-0.001373639421,6.57172E-6,-1.38604622776E-4
-20.9993,1.397E-4,-1.336E-4,0,0,0,0,3.328E-5,-3.286E-5,0,0,0,0,3.853E-5,-3.7E-5,0,0,1.45E-6,-1.45E-6,0,0,3.998E-5,-3.845E-5,0,7.843E-5,0,-0.001646975099,0,0,-8.39552014E-4,8.07423085E-4,0,0,4.00128499999998E-6,-3.84716999999998E-6,0,7.84845499999996E-6,0,-1.65444974046499E-4,0,0,-8.43495446704995E-5,8.10954293759995E-5,3.853E-5,-3.7E-5,7.553E-5,-0.001586077129,7.55801999999996E-6,-1.59322638625999E-4
-20.9843,1.614E-4,-1.544E-4,0,0,0,0,3.846E-5,-3.797E-5,0,0,0,0,4.453E-5,-4.275E-5,0,0,1.68E-6,-1.68E-6,0,0,4.621E-5,-4.443E-5,0,9.064E-5,0,-0.001902016952,0,0,-9.69684503E-4,9.32332449E-4,0,0,4.64771E-6,-4.46877E-6,0,9.11648E-6,0,-1.92062414429E-4,0,0,-9.7918818548E-5,9.4143595881E-5,4.453E-5,-4.275E-5,8.728E-5,-0.001831509704,8.779095E-6,-1.849545398735E-4
-20.9703,1.865E-4,-1.783E-4,0,0,0,0,4.444E-5,-4.387E-5,0,0,0,0,5.145E-5,-4.94E-5,0,0,1.94E-6,-1.94E-6,0,0,5.339E-5,-5.134E-5,0,1.0473E-4,0,-0.002196219519,0,0,-0.001119604317,0.001076615202,0,0,5.34490999999997E-6,-5.13915999999997E-6,0,1.04840699999999E-5,0,-2.20750069725999E-4,0,0,-1.12543840287999E-4,1.08206229437999E-4,5.145E-5,-4.94E-5,1.0085E-4,-0.002114854755,1.00960049999999E-5,-2.12579091086499E-4
-20.9553,2.155E-4,-2.06E-4,0,0,0,0,5.134E-5,-5.069E-5,0,0,0,0,5.944E-5,-5.707E-5,0,0,2.24E-6,-2.24E-6,0,0,6.168E-5,-5.931E-5,0,1.2099E-4,0,-0.002535381747,0,0,-0.001292522904,0.001242858843,0,0,6.207935E-6,-5.969035E-6,0,1.217697E-5,0,-2.56237079221E-4,0,0,-1.306347944455E-4,1.256022847755E-4,5.944E-5,-5.707E-5,1.1651E-4,-0.002441502003,1.1726205E-5,-2.467517667715E-4
-20.9413,2.489E-4,-2.38E-4,0,0,0,0,5.931E-5,-5.855E-5,0,0,0,0,6.866E-5,-6.593E-5,0,0,2.59E-6,-2.59E-6,0,0,7.125E-5,-6.852E-5,0,1.3977E-4,0,-0.002926965501,0,0,-0.001492067625,0.001434897876,0,0,7.1384450000002E-6,-6.86384500000019E-6,0,1.40022900000004E-5,0,-2.94473509957008E-4,0,0,-1.50126928148504E-4,1.44346581808504E-4,6.866E-5,-6.593E-5,1.3459E-4,-0.002818489567,1.34839050000004E-5,-2.83571707761508E-4
-20.9263,2.875E-4,-2.749E-4,0,0,0,0,6.85E-5,-6.763E-5,0,0,0,0,7.931E-5,-7.616E-5,0,0,2.99E-6,-2.99E-6,0,0,8.23E-5,-7.915E-5,0,1.6145E-4,0,-0.003378551135,0,0,-0.00172223449,0.001656316645,0,0,8.29006999999997E-6,-7.97136999999997E-6,0,1.62614399999999E-5,0,-3.41764884726999E-4,0,0,-1.74234194010999E-4,1.67530690715999E-4,7.931E-5,-7.616E-5,1.5547E-4,-0.003253411861,1.56593549999999E-5,-3.29110968471499E-4
-20.9123,3.321E-4,-3.176E-4,0,0,0,0,7.911E-5,-7.811E-5,0,0,0,0,9.159E-5,-8.796E-5,0,0,3.45E-6,-3.45E-6,0,0,9.504E-5,-9.141E-5,0,1.8645E-4,0,-0.003899098335,0,0,-0.001987504992,0.001911593343,0,0,9.53145000000022E-6,-9.16529000000022E-6,0,1.86967400000004E-5,0,-3.92708431017009E-4,0,0,-2.00202370385005E-4,1.92506060632005E-4,9.159E-5,-8.796E-5,1.7955E-4,-0.003754803465,1.80044950000004E-5,-3.78168475753509E-4
