,,rho*E,occupancy
eg,UP,-1.5997897800979317,-1.833742888078
eg,DOWN,-1.0846512220335394,1.7636425954900001
eg,TOTAL,-1.3472396133917046,-3.5973854835679995
t2g,UP,-2.5935619188595336,-2.2471774697579994
t2g,DOWN,-2.47842925350542,1.463542815434
t2g,TOTAL,-2.5481525179210687,-3.7107202851919996
dzcomp,UP,-1.6072010287431302,-2.672973352292
dzcomp,DOWN,-1.0142611894969473,1.8688813442249999
dzcomp,TOTAL,-1.3632182776734507,-4.5418546965169995
